,rental_id,addr_unit,building_id,bedrooms,bathrooms,size_sqft,created_at,addr_street,addr_city,addr_zip,addr_lat,addr_lon,bin,bbl,floor_count,year_built,min_to_subway,has_doorman,has_elevator,has_fireplace,has_dishwasher,is_furnished,has_gym,allows_pets,has_washer_dryer,has_garage,has_roofdeck,has_concierge,has_pool,has_garden,has_childrens_playroom,rent,no_fee,description,neighborhood,borough,unit,floornumber,line,sentiment_score,scores
10,7199509,#31,1323811,1,1.0,800.0,2018-05-22 14:58:47,39-11 62 STREET,Woodside,11377,40.7464312,-73.90151492,4028386.0,4012320064,4.0,1927.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,0,"WoW- Incredible Apt. King Size 1 Bed - Dishwasher - Live In Super 
700 sq ft !! 3 minutes to 7 train ( Express Stop ) & LIRR Be on Any train to Manhattan in 4 Minutes -
Will Not Last ! 18 / 11 Living Room 3 Big Closets 
Hardwood Floors, Freshly Painted The apartment features high ceilings with Huge Windows. Sun Drenched Heat & Hot Water included.
 Pets ok but no aggressive breeds! 700 sq ft !! 
 Moments to Cafes - Shops - Supermarkets - Nightlife = Fun
Call - Text Emai``l RJ ```For Your Exclusive Showing- Awesome Building Management = Fast & Easy Approval For Qualified Clients !!",Woodside,Queens,31,,,0.4000000059604645,0.4000000059604645
11,7374106,#2C,353548,1,1.0,688.0,2018-07-17 12:13:25,456 GRAND STREET,Brooklyn,11211,40.71110153,-73.95300293,3062872.0,3023990001,6.0,2012.0,3.6333,1,0,0,1,0,1,1,0,0,1,0,0,0,0,2985,1,"Now Offering No Fee!

456 Grand is ideally located in East Williamsburg - a short stroll from the best Brooklyn nightlife and only 2 subway stops from Manhattan. In a city that feels overpriced and overcrowded, 456 Grand is the perfect mix of space and convenience.

Over-sized apartments feature:
- Oak Hardwood Flooring
- Ample Storage
- Floor-to-ceiling windows with custom fitted blinds
- Brushed nickel & chrome finishes
- Individually controlled heat & central A/C

Kitchens Feature:
- Stainless steel Whirlpool appliances
- Granite countertops
- Cooking islands in many units
- 4 burner gas stovetop
- Custom Stonington gray cabinetry
- Seated countertops in select units

Bathrooms Feature:
- Fully tiled Takla Porcelain
- Grohe faucets
- Stainless steel finishes
- Recessed medicine cabinets

Building Features:
- Fitness Center
- Bike storage
- On-site parking
- Virtual doorman
- Laundry on every floor
- Individual video intercoms
- Environmentally conscious with solar panels powering all common spaces
- Two common roof terraces


Images are for illustrative purposes only and do not necessarily reflect this exact unit, and may be from a similar or model unit within the building",Williamsburg,Brooklyn,2C,2.0,C,0.5,0.5
12,7211146,#1B,119872,1,1.0,550.0,2018-05-26 12:56:25,766 ST NICHOLAS AVENUE,New York,10031,40.82609205,-73.94279084,1061157.0,1020530122,3.0,1926.0,2.9167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1950,1,"**NO FEE**

Spacious, high ceiling 1st Floor, 1Bed 1Bath, welcomes you from within this brownstone building.

Open windowed kitchen offers ample cupboard and countertop space, with Whirlpool appliances, including Dishwasher.
Substantive hardwood floor living room, offers dedicated spaces for eating, relaxing and entertaining.

Tiled bathroom, with tub and shower, leads to a bright and quiet rear double windowed bedroom, with additional closeting.
Rear bedroom also looks out onto well tended gardens.

Video Intercom system is within the apartment, and heating is temperature controlled via a wall mounted panel.

Building is within immediate proximity to a wide and varied developing art-house coffee, restaurant and bar scene.
A newly renovated neighboring FoodTown offers convenient grocery and household shopping.

For transport - A, B, C and D stops at 145th are one block away.",Hamilton Heights,Manhattan,1B,1.0,B,0.5,0.5
13,7205032,#1,397363,4,1.0,1800.0,2018-05-24 11:27:28,404 STOCKHOLM STREET,Brooklyn,11237,40.7053157,-73.91665545,3074282.0,3032610014,2.0,1930.0,1.75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4000,1,"No Fee:

Rare HUGE 3.5 bedroom duplex apt. by the Dekalb L stop, and just a hop, skip and a jump from the JMZ!  Coming into the apartment, you’re welcomed by 2 large rooms flooded with light,  and providing an unbelievable amount of space.  Continuing through, you enter into an eat-in modern kitchen with stainless steel appliances, and dishwasher.  Pass the bathroom and 3 hallway closets, and there are two more large bedrooms that both fit a king size bed and still have room for plenty of furniture.  On the lower level, there is a walk in closet, entrance way, and two more additional rooms with windows as well.  This apt. also provides the perfect place to throw your own summertime BBQs with a shared backyard!

Located just a block and a half from the Dekalb L train stop, and a short stroll to the Myrtle Wyckoff stop, transportation is covered for years to come.  You’re also just around the corner from Wyckoff Ave, and the bars, restaurants, and music venues, that make this part of Bushwick so popular!  If you’re looking for space, with a great location, you've found it!  Call, email, or text for a private showing.  (pet friendly, heat/hot water included)",Bushwick,Brooklyn,1,1.0,,0.30000001192092896,0.30000001192092896
14,7303381,#11F,126592,2,1.0,1200.0,2018-06-25 09:21:47,780 RIVERSIDE DRIVE,New York,10032,40.83389215,-73.94779273,1063247.0,1021340022,10.0,1914.0,1.2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3275,1,"NO FEE! Spacious Corner Penthouse 2 Bedroom in Prewar Elevator Building – Pets Ok! – Excellent Hudson River and City Views – Columbia Presbyterian Hospital – Transportation 

The apartment is located on the 11th floor and offers breathtaking Hudson River and City Views. There are many windows throughout the apartment that allow in a lot of beautiful natural light. 

The apartment features: 
Spacious Livingroom with space for a living and dining area
Two Large Bedrooms with closets
Kitchen is finished in stainless steel appliances complete with dishwasher 
There are lots of closets and storage throughout the apartment",Washington Heights,Manhattan,11F,,,0.699999988079071,0.699999988079071
15,7257553,#303,283975,3,1.0,900.0,2018-06-09 15:43:40,372 KOSCIUSZKO STREET,Brooklyn,11221,40.69176255,-73.93943712,3043320.0,3016050001,4.0,1930.0,6.6667,0,1,0,1,0,1,1,0,0,1,0,0,1,0,3700,1,"DREAM 18ft ceiling 3 bedroom apartment with unique features and perks! 
Access to gym, movie theater, laundry, lounge, bike storage, and furnished rooftop
10 min walk to the J/M/Z trains at Myrtle Ave
Near great restaurants, cafes, bars, parks, schools and more!
** International applicants / artists / students are welcome
** Gross rent is as advertised - actual amount you pay monthly

Every room has 18 ft ceilings
Incredible open layout loft
True  queen sized bedrooms
Chandeliers in every room
Large sunny bathroom
Stainless steel appliances incl. dishwasher
Hardwood floors
Virtual doorman
Fios-enabled

The building:
Attentive management
Rent-stabilized
Pet-friendly
Elevator
Wheelchair accesible
Indoor mail / packages
On-site Super
Wifi lounge
Movie theater
Gym facility
Laundry room
Bike storage
Furnished rooftop overlooking NYC skyline

$500 deposit to take it off the market
EASY ($50) application process
1st and security at lease signing
NO previous evictions

Contact me ASAP if you'd like to view the apartment. It will not last!!!",Bedford-Stuyvesant,Brooklyn,303,3.0,03,0.20000000298023224,0.20000000298023224
16,7371094,#2FA,322285,4,2.0,1200.0,2018-07-16 15:25:16,86 CLINTON AVENUE,Brooklyn,11205,40.69503798,-73.96951693,3054276.0,3018870065,4.0,1905.0,7.7167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5999,1,"HUGE 4 Bedroom 2 bath residence with in-unit washer/dryer in PRiME Clinton Hill! – NO FEE

High end finishes, paired with high ceilings, and plenty of natural light give the unit a really great aesthetic!

- Each bedroom has plenty of room for a queen bed, and each have closets and windows!

- Expansive hardwood flooring from one end of the unit to the other!

- Contemporary kitchen features stainless steel appliances including a dishwasher!

- Short walk to Fort Greene Park, and the G train!

Contact Mendel any time for flexible viewings!",Clinton Hill,Brooklyn,2FA,2.0,FA,0.5,0.5
17,7386616,#2F,729553,2,1.0,950.0,2018-07-20 12:33:46,1671 WEST 4 STREET,Brooklyn,11223,40.60658639,-73.97716349,3175704.0,3066280049,2.0,1930.0,2.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1900,1,"718 938-1102
Kings Hwy & West 4th St - Bright Charming apt. All Transportation Steps Away.
2nd Fl, a 3 family - Detached Brick House, on a Quiet, Residential St, Canopied with Trees. Own Thermo - GAS, HEAT, HOT WATER, Included.
2 Large Windows - each room. Ample Closets Space. Tiled eat in Kitchen, Wooden Fl - through out apt. 3-4 Short Blocks to N & F Train - 25 minutes to Manhattan.
Small PETS Upon Approval. $250 Extra Deposit for Pets
Proof of Income (W-2, 1099, Employer's Stubs, Etc,). $75 Credit Check",Gravesend,Brooklyn,2F,2.0,F,0.30000001192092896,0.30000001192092896
18,7161667,#3C,78679,0,1.0,440.0,2018-05-09 13:51:48,1388 2 AVENUE,New York,10021,40.76828926,-73.9583858,1044857.0,1014460004,4.0,1915.0,6.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685,0,"Large pre -war studio w High CEILINGS
RENT STABILIZED  !!!!!!  WOW -------- A RARITY
OAK AND MAPLE FLOORS
SEP ROOMS
KITCHEN IS LARGE W LOTS OF PANTRY CLOSETS
EXCELLENT UPDATED BATH
SUNNY VIEW
CLOSE TO Q TRAIN ,BUSES DOWNTOWN AND CROSSTOWN
SHOPPING VERY CLOSE
FAN---TAS -- TIC       DEAL
calling me is better than wasting time thinking about it

SIX FOUR SIX FOUR EIGHT NINE
FOUR TWO NINE ZERO",Upper East Side,Manhattan,3C,3.0,C,0.10000000149011612,0.10000000149011612
19,7256881,#4,105229,1,1.0,650.0,2018-06-09 10:22:17,782 AMSTERDAM AVENUE,New York,10025,40.79563581,-73.96959366,1056400.0,1018700030,5.0,1910.0,1.8833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,1,"BEST UPPER WEST 1-BEDROOM THIS PRICE-RANGE!!!
* Extra Spacious True 1-Bedroom Apt
* Sprawling* 'floor-thru' layout – Large Enough to Share!
* 18' x 12' Open Concept Living Room 
* 15' x 10 ' King-Sized Bedroom with Walk-In Closet
* BRAND NEW KITCHEN 
* Full Bath w/ Glass Sliders on Tub
* Hi Ceilings; Hardwood Floors
* SUNNY * 3 flights walk-up
* Just 2 short blocks to Express Trains @ 96th/Bway 
* Walk to Columbia U. 
* Enjoy the nee COLUMBUS SQUARE neighborhood including ""Whole Foods"", ""T J MAX"", "", ""Home Goods""…& MORE!
Contact Renee (Broker) to view * Available for 6/15-7/1 Lease Start * Cat OK * NO FEE!
** Apartment comes UNFURNISHED ** ALL PHOTOS of ACTUAL APT but the first 2 photos show apartment furnished by previous tenants **",Upper West Side,Manhattan,4,4.0,,0.30000001192092896,0.30000001192092896
20,7201810,#12,17128,3,1.0,750.0,2018-05-23 12:05:17,346 EAST 13 STREET,New York,10003,40.73073377,-73.98384647,1006487.0,1004540032,6.0,1920.0,1.3167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4600,1,3 Bed 1.5 Bath with Laundry in the unit! Hardwood floors and exposed brick throughout unit. Recessed lighting and custom cabinets in the kitchen.,East Village,Manhattan,12,,,0.0,0.0
21,7352875,#3,58288,1,1.0,600.0,2018-07-10 19:15:43,152 WEST 75 STREET,New York,10023,40.78002871,-73.97954851,1030109.0,1011460156,4.0,1900.0,2.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,0,"Great deal on West 75th street. Spacious 1b in an immaculate brownstone, located on a lovely tree line block just one block Central Park West. Apt features: a Large living room that will fit a dining area. King-size bedroom. Large separate kitchen with all brand new renovations. Please note, renovation is in progress, the kitchen's picture is a mirror image of the new kitchen. Great closets space. The apt is very bright. Absolutely great value. Best Upper West side location, mid 70's by Central Park, the 1-2-3-b-c trains, trendy restaurants and best supermarkets. Sorry, no dogs. Please contact Danny to view this listing",Upper West Side,Manhattan,3,3.0,,0.5,0.5
22,7287667,#2,387514,2,1.0,700.0,2018-06-19 15:17:01,151 NOLL STREET,Brooklyn,11206,40.70330508,-73.93105203,3071857.0,3031480036,2.0,1920.0,3.3333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2600,0,"Large 2 bedroom apt in the heart of Bushwick!!

Nestled between the Morgan and Jefferson L stop as well as the Central M train stop you'll find this newly renovated 2 bedroom apartment with 4 closets and a huge living room perfect for hosting and enjoying the company of family and friends. Private balcony overlooks a lovely, well-kept backyard. Don't suffer another hot summer with AC units in each room. 
Available ASAP.
Contact Nicole to view today!",Bushwick,Brooklyn,2,2.0,,0.5,0.5
23,7324255,#19E,103357,1,1.0,550.0,2018-07-02 08:09:50,382 CENTRAL PARK WEST,New York,10025,40.79359818,-73.96559906,1074358.0,1018337501,19.0,1961.0,2.3,1,1,0,1,0,1,0,0,0,0,1,0,0,1,2695,1,"Flex One bedroom/Studio, DM CONDO! No FEE! Wall in place to create a separate bedroom area: D/w, microwave, huge closets, dressing area, thru wall a/c. Full service condo includes 24-hour Concierge, Resident Manager, full time staff, fitness center, laundry room, and FIOS service available. Beautiful back garden area and steps to central Park. Excellent LOCATION near major transportation BC train, M11, M96, M7. Columbus Square's retail center with Whole Foods, TJ Maxx, Home Goods, Sephora and more. Trader Joes is 5 blocks away. The Farmer's Market comes every Friday, This is a NO SMOKING Building. Board approval necessary.  Pets on case-by-case basis.  Can be offered semi-furnished.",Upper West Side,Manhattan,19E,19.0,E,0.20000000298023224,0.20000000298023224
24,7323214,#2F,18767074,2,1.0,700.0,2018-07-01 13:48:06,296 THROOP AVENUE,Brooklyn,11206,40.69409943,-73.94349670000001,3399068.0,3017680046,4.0,2014.0,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2300,1,"Come view this AMAZING 2 bedrooms apartment in the heart of Bedstuy, SHORT walk to G train at Myrtle Ave, 5-6 minutes walk to J M Z trains !!!!!

VERY LARGE APARTMENT!!!!

New construction building featuring roof access, laundry room, and a virtual doorman. 

The apartment boasts of *hardwood flooring throughout, *central AC and heating system, *2 QUEEN sized bedrooms + closets space, *Large living room, *kitchen with stainless steel appliances including a dishwasher, lots of cabinet and countertops, * fully tiled bathroom. 

Call or Text TODAY!!!",Bedford-Stuyvesant,Brooklyn,2F,2.0,F,0.30000001192092896,0.30000001192092896
25,7265221,#4,369568,1,1.0,650.0,2018-06-12 14:03:07,576A MORGAN AVENUE,Brooklyn,11222,40.72432088,-73.93930651,3067385.0,3026910063,4.0,1931.0,11.6167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,"Looking to live in perfect peace and quiet on a beautiful tree lined street in an idyllic part of Greenpoint? Looking for a great deal? Then this is the place for you! The apartment is a bright, sunny, newly renovated, and maintained with love and care by the nicest landlords you could hope to meet. The apartment itself is very nicely redone. The kitchen and bathroom are both a good size and the large windows give the entire place a bright and open feel. This is a real gem. Call Jeremy to make an appointment! 

PETS OK.",Greenpoint,Brooklyn,4,4.0,,0.5,0.5
26,7179904,#28Q,52861,0,1.0,608.0,2018-05-15 16:05:48,322 WEST 57TH STREET,New York,10019,40.76679993,-73.98419952,1025450.0,1010477503,50.0,1978.0,1.6667,1,1,0,0,0,1,1,0,1,1,1,1,0,1,3138,1,"The rent is $3,400/month. However, Landlord give one month free on 13 month lease and last month free. So that the effective rent is $3,138/month. Spectacular location, amenities in a renovated high floor and facing East unit on the 28th floor. Marble bath, Roomy closets, windowed chef's kitchen with stainless steel appliances. The Sheffield contains an impeccable 24,000 sq. ft. of private amenities located on the top two floors of the building which include: an indoor/outdoor pool, several roof decks and lounges facing Central Park and Hudson River, fitness center, yoga and spinning studio, children's playroom, sauna and locker room, and steam room. The apartment's extremely reasonable common charges make this amenity suite even more impressive! 322 West 57th Street offers a highly prestigious and central location steps from Central Park, Billionaires' Row, Columbus Circle, the Time Warner Center, Lincoln Center, Carnegie Hall, the Theater District, and the best shopping and dining.",Midtown West,Manhattan,28Q,28.0,Q,0.6000000238418579,0.6000000238418579
27,7421611,#307,398740,2,1.0,0.0,2018-07-30 13:00:34,886 BUSHWICK AVENUE,Brooklyn,11221,40.693368400000004,-73.92565317,3074660.0,3032730034,3.0,1899.0,0.9,0,1,0,1,0,1,1,0,1,1,0,0,0,0,2591,1,"Introducing 889 Bushwick ave, a newly constructed luxury rental development in the heart of Bushwick. 
-
889 Bushwick ave is the first part of a 223-unit brand new construction project that will take over this entire block. At 889 we offer 56 Units with a choice of one, two or three bedroom apartments – most of which feature private outdoor spaces and state-of-the-art amenities.


This is a gorgeous 2 bedroom apartment – 2 big bedrooms and a living room, all full of light and huge windows!
We also have a 2 bedroom 2 bath option in this building. and I can show you all the options of course.


Amenities of the unit: 
Central A/C 
Hardwood Floors 
Natural Light in Living Area 
Dishwasher 
Outdoor Space 
Stone countertops

Building amenities:
- Co-working library space with private niches
- Fully furnished and landscaped roof deck overlooking the one of a kind 
Manhattan skyline 
- Laundry in building 
- Bike storage 
- Fully equipped Gym 
- Game room 
- Common courtyard 
- Garage 

Surrounded by neighborhood attractions including galleries, restaurants, coffee shops & bars. 
This spot is 5 minutes walk to the JMZ at Gates Avenue… just a 30 minutes commute to SoHo, and 38 minutes to Midtown Manhattan.

Pets welcome!
Guarantors accepted:)",Bushwick,Brooklyn,307,3.0,07,0.4000000059604645,0.4000000059604645
28,7364581,#21J,41032,1,1.0,713.0,2018-07-13 15:25:13,77 WEST 24 STREET,New York,10010,40.74368984,-73.99173942,1085951.0,1008260001,29.0,1999.0,1.1667,1,1,0,1,0,1,1,0,1,0,1,0,1,0,4691,1,"The 31-story Vanguard Chelsea features a limestone and bronze entrance to a sophisticated contemporary lobby with geometric pattern limestone floor, layered Venetian plaster, mahogany and cast stone concierge console and bronze accents. Building features include:
 
•Sophisticated, contemporary lobby with geometric pattern limestone floor, mahogany columns and limestone concierge console
 •24-hour concierge
 •Residents-only fully equipped fitness center and aerobics room
 •4,000 sq. ft. landscaped terrace
 •Conference room
 •Hi-speed Internet and telephone access (three providers)
 •Cable TV
 •WiFi
 •Telephonic intercom system/multiple phone lines per residence
 •Bicycle room and individual resident storage
 •24-hour parking garage with valet attendant
 •Maid and valet services
 •Unsurpassed level of service",Flatiron,Manhattan,21J,21.0,J,0.20000000298023224,0.20000000298023224
