addr_street,number_of_parks
103 EAST 102 STREET,13
103 GARFIELD PLACE,3
103 MESEROLE STREET,5
103 NORTH 3 STREET,8
103 SOUTH 9 STREET,11
103 TROUTMAN STREET,5
103-07 METROPOLITAN AVENUE,1
103-11 68 DRIVE,3
103-18 METROPOLITAN AVENUE,1
103-19 68 ROAD,4
1031 70 STREET,4
1032 DE KALB AVENUE,4
1033 FLUSHING AVENUE,4
1033A DE KALB AVENUE,4
1035 FULTON STREET,5
1036 EAST 233 STREET,3
1037 BERGEN STREET,2
1038 GREENE AVENUE,4
1039 PACIFIC STREET,6
104 2 AVENUE,14
104 6 AVENUE,6
104 CENTRAL AVENUE,5
104 FRANKLIN STREET,19
104 OUTLOOK AVENUE,2
104 ROGERS AVENUE,1
104 SUFFOLK STREET,14
104 SUMMIT STREET,6
104 WASHINGTON AVENUE,7
104 WEST 70 STREET,3
104 WEST 75 STREET,16
104 WEST 83 STREET,1
104 WEST END AVENUE,3
104-20 QUEENS BOULEVARD,3
1045 SHERMAN AVENUE,8
1047 BEDFORD AVENUE,6
1049 5 AVENUE,2
1049 GLENMORE AVENUE,6
105 AINSLIE STREET,14
105 BERGEN STREET,8
105 BERRY STREET,14
105 COOPER STREET,5
105 DUANE STREET,19
105 EAST 15 STREET,11
105 FRANKLIN STREET,3
105 HURON STREET,7
105 LEONARD STREET,5
105 LINCOLN ROAD,5
105 NORFOLK STREET,14
105 NORTH 7 STREET,15
105 OCEANA DRIVE EAST,3
105 QUINCY STREET,5
105 VANDERVEER STREET,5
105 WEST 29TH STREET,9
105 WEST 72 STREET,18
105 WEST 74 STREET,16
105-01 63 AVENUE,6
105-01 65 ROAD,6
105-15 66 ROAD,6
105-24 64 ROAD,7
105-30 66 AVENUE,6
105-37 64 AVENUE,6
105-37 65 AVENUE,7
105-40 62 ROAD,7
1050 EAST 38 STREET,2
1051 OCEAN AVENUE,1
10532 FLATLANDS 5 STREET,1
1054 BUSHWICK AVENUE,3
1056 EAST 59 STREET,1
1058 BEDFORD AVENUE,4
1059 BERGEN STREET,2
1059 MANHATTAN AVENUE,7
106 6 AVENUE,6
106 AVENUE S,2
106 BROADWAY,12
106 CENTRAL PARK SOUTH,4
106 EAST 42 STREET,2
106 FT WASHINGTON AVENUE,10
106 HART STREET,3
106 MAC DONOUGH STREET,6
106 MULBERRY STREET,19
106 NORTH 8 STREET,15
106 PINEHURST AVENUE,8
106 REMSEN AVENUE,2
106 SEIGEL STREET,7
106 WAKEMAN PLACE,3
106 WITHERS STREET,11
1060 6 AVENUE,3
1060 BROADWAY,4
1060 PUTNAM AVENUE,2
1065 LAFAYETTE AVENUE,2
1065 SECOND AVENUE,4
1067 MANHATTAN AVENUE,9
107 3 STREET,7
107 DUPONT STREET,10
107 EAST 102 STREET,12
107 GREENPOINT AVENUE,3
107 HAVEMEYER STREET,10
107 KENT STREET,5
107 LINDEN STREET,4
107 PATCHEN AVENUE,2
107 PROSPECT PARK WEST,10
107 PUTNAM AVENUE,5
107 SKILLMAN AVENUE,11
107 WEST 68 STREET,4
107 WEST 69 STREET,3
107-40 QUEENS BOULEVARD,4
1070 CARROLL STREET,2
1072 BERGEN STREET,3
1073 GREENE AVENUE,4
1075 WILLOUGHBY AVENUE,5
1076-1080 FULTON STREET,4
1079 MANHATTAN AVENUE,9
108 5 AVENUE,13
108 AINSLIE STREET,14
108 AVENUE B,12
108 BALTIC STREET,10
108 BROOKLYN AVENUE,5
108 CENTRAL AVENUE,5
108 EAST 38 STREET,15
108 EAST 97 STREET,14
108 FULTON STREET,20
108 GATES AVENUE,8
108 MACON STREET,1
108 NORTH 5 STREET,14
108 NORTH 8 STREET,13
108 PARK PLACE,5
108 PARK TERRACE EAST,7
108 TERRACE PLACE,10
108 WEST 129 STREET,8
108 WYCKOFF AVENUE,4
108-20 71 AVENUE,4
108-24 71 AVENUE,4
108-25 72 AVENUE,4
108-37 70 AVENUE,3
108-50 62 DRIVE,6
1081 EASTERN PARKWAY,3
1081 FULTON STREET,5
1081 MADISON STREET,7
1082 DE KALB AVENUE,4
1082 PRESIDENT STREET,1
1085 NELSON AVENUE,4
1086 BERGEN AVENUE,1
1087 FLUSHING AVENUE,4
1088 CARROLL STREET,1
109 EAST 100 STREET,14
109 GOLD STREET,12
109 LUDLOW STREET,14
109 NEWEL STREET,7
109 NORTH 3 STREET,8
109 PARK PLACE,5
109 PROSPECT PARK WEST,9
109 READE STREET,20
109 WASHINGTON STREET,20
109-05 72 AVENUE,4
109-05 QUEENS BOULEVARD,4
109-19 72 AVENUE,5
109-20 QUEENS BOULEVARD,6
1090 EAST 92 STREET,1
1090 ST NICHOLAS AVENUE,10
1093 2 AVENUE,4
1094 MADISON STREET,7
1094 NEW YORK AVENUE,1
1095 PARK AVENUE,2
1097 PUTNAM AVENUE,4
1099 FLUSHING AVENUE,3
11 2ND PLACE,7
11 4 PLACE,8
11 CARMINE STREET,15
11 DITMARS STREET,5
11 EAST 29 STREET,13
11 EAST 32 STREET,13
11 EAST 36 STREET,12
11 EAST 80 STREET,3
11 EAST 88 STREET,3
11 MAIDEN LANE,20
11 NIXON COURT,1
11 VESTRY STREET,18
11 WEST 8 STREET,20
11-02 49TH AVENUE,13
11-05 30 ROAD,5
11-22 45TH ROAD,10
11-35 45 AVENUE,8
11-40 31 DRIVE,5
11-51 44 DRIVE,9
110 3 AVENUE,14
110 4 AVENUE,10
110 BANK STREET,16
110 BEDFORD STREET,20
110 BENNETT AVENUE,7
110 CENTRAL PARK SOUTH,4
110 DITMARS STREET,4
110 EAST 71 STREET,1
110 EAST 87 STREET,2
110 FORSYTH STREET,16
110 GATLING PLACE,4
110 GREEN STREET,8
110 GREENWICH STREET,20
110 HORATIO STREET,16
110 LIVINGSTON STREET,12
110 MARTENSE STREET,5
110 POST AVENUE,8
110 REMSEN STREET,20
110 SMITH STREET,6
110 SUMMIT STREET,6
110 WEST 14 STREET,11
110 WEST 86 STREET,1
110-20 73 ROAD,4
110-25 72 DRIVE,5
110-27 72 DRIVE,5
110-33 72 AVENUE,6
110-35 72 DRIVE,4
110-42 72 ROAD,5
110-48 72 AVENUE,5
110-55 72 ROAD,6
110-56 71 AVENUE,5
1100 JEFFERSON AVENUE,5
1100 LINCOLN PLACE,3
1101 MANHATTAN AVENUE,10
1101 UNION STREET,3
1101 WILLOUGHBY AVENUE,6
1102 AVENUE K,2
1108 DECATUR STREET,5
1108 HALSEY STREET,5
1109 DE KALB AVENUE,4
111 3 AVENUE,14
111 CENTRAL PARK NORTH,11
111 DIVISION STREET,12
111 EAST 80 STREET,1
111 EAST 88 STREET,2
111 EAST MOSHOLU PARKWAY NORTH,7
111 FULTON STREET,20
111 HANCOCK STREET,1
111 HICKS STREET,20
111 HURON STREET,7
111 KENT AVENUE,10
111 LAWRENCE STREET,11
111 MAC DOUGAL STREET,13
111 MERCER STREET,15
111 MURRAY STREET,20
111 NORTH 3 STREET,8
111 OAK STREET,7
111 PROSPECT PARK SOUTHWEST,13
111 WASHINGTON STREET,20
111 WEST 141 STREET,8
111 WEST 28 STREET,8
111 WEST 67 STREET,3
111 WEST 94 STREET,0
111 WORTH STREET,18
111-03 77 AVENUE,5
111-04 76 DRIVE,3
111-10 76 ROAD,3
111-12 CORONA AVENUE,7
111-20 76 DRIVE,5
111-20 76 ROAD,3
111-22 66 AVENUE,5
111-23 76 ROAD,3
111-32 76 AVENUE,1
111-39 76 ROAD,3
111-45 76 DRIVE,4
111-50 76 ROAD,4
111-55 77 AVENUE,3
1110 CARROLL STREET,1
1111 DEKALB AVENUE,4
1113 YORK AVENUE,4
1116 NOSTRAND AVENUE,3
1117 JEFFERSON AVENUE,5
1119 NOSTRAND AVENUE,3
1119 OCEAN PARKWAY,1
112 CLAY STREET,9
112 EAST 103 STREET,11
112 EAST 36 STREET,12
112 HALL STREET,8
112 HIMROD STREET,4
112 LAFAYETTE AVENUE,8
112 LEXINGTON AVENUE,11
112 MADISON STREET,12
112 MULBERRY STREET,19
112 PROSPECT PLACE,5
112 WEST 72 STREET,2
112-01 QUEENS BOULEVARD,2
112-15 72 ROAD,3
112-16 QUEENS BOULEVARD ,2
112-18 QUEENS BOULEVARD,2
112-41 72 ROAD,2
1120 76 STREET,3
1120 BERGEN STREET,3
1122 CHESTNUT AVENUE,1
1124 BEDFORD AVENUE,7
1125 LORIMER STREET,4
113 BUTLER STREET,6
113 CEDAR STREET,20
113 EAST 102 STREET,11
113 GRAHAM AVENUE,6
113 MALCOLM X BOULEVARD,2
113 MULBERRY STREET,17
113 NASSAU STREET,20
113 NEWEL STREET,7
113 RICHARDSON STREET,13
113 SOUTH 6 STREET,11
1130 1 AVENUE,5
1130 BERGEN STREET,3
1131 PRESIDENT STREET,0
1132 1 AVENUE,4
1134 1 AVENUE,5
1134 EAST 43 STREET,1
1135 ST MARK'S AVENUE,4
1136 BUSHWICK AVENUE,3
1137 GREENE AVENUE,4
1138 GATES AVENUE,4
114 ALBEMARLE ROAD,3
114 CALYER STREET,10
114 EAST 1 STREET,11
114 EAST 27 STREET,11
114 EAST 28 STREET,12
114 EAST 37 STREET,13
114 EAST 4 STREET,14
114 EAST 40 STREET,15
114 MANHATTAN AVENUE,5
114 RIDGE STREET,12
114 ST MARKS PLACE,12
114 SUFFOLK STREET,14
114 TROUTMAN STREET,4
114 WALTON STREET,8
114 WEST 127 STREET,11
114 WEST 238 STREET,10
114 WEST 86 STREET,13
114 WYCKOFF STREET,8
1140 EAST 98 STREET,3
1140 ST JOHN'S PLACE,3
1141 EAST 86 STREET,3
1141 GREENE AVENUE,3
1144 BERGEN STREET,3
1144 BUSHWICK AVENUE,4
1146 2 AVENUE,6
115 1 AVENUE,12
115 EAST 9 STREET,12
115 MULBERRY STREET,18
115 QUINCY STREET,6
115 SOUTH 2 STREET,11
115 ST MARK'S PLACE,13
115 VANDERVEER STREET,5
115 WEST 57 STREET,3
115 WEST 71 STREET,3
115 WEST 74 STREET,15
1150 BRIGHTON BEACH AVE,2
1150 EASTERN PARKWAY,4
1151 DEAN STREET,2
1151 ROGERS AVENUE,2
1152 LAFAYETTE AVENUE,5
1153 PRESIDENT STREET,1
1154 GATES AVENUE,4
1159 GATES AVENUE,4
116 AVENUE C,11
116 CENTRAL PARK SOUTH,4
116 JOHN STREET,19
116 SEIGEL STREET,8
116 SOUTH 1 STREET,12
116 SULLIVAN STREET,17
116 WEST 124 STREET,13
116 WEST 69 STREET,4
116 WYCKOFF STREET,8
116-12 OCEAN PROMENADE,3
1165 PARK AVENUE,2
1166 HALSEY STREET,5
1167 DEAN STREET,2
1167 MYRTLE AVENUE,4
1169 OCEAN AVENUE,1
117 4 PLACE,10
117 BEEKMAN STREET,19
117 KINGSLAND AVENUE,10
117 LEONARD STREET,3
117 LINDEN STREET,4
117 MILTON STREET,4
117 PULASKI STREET,4
117 ROEBLING STREET,14
117 STATE STREET,20
117 VARICK STREET,14
117 WEST 13 STREET,12
117 WEST 15 STREET,13
1170 OCEAN AVENUE,1
1175 YORK AVENUE,5
1177 BEDFORD AVENUE,5
118 CALYER STREET,10
118 EAST 103 STREET,12
118 EAST 31 STREET,16
118 EAST 4 STREET,14
118 EAST 93 STREET,2
118 SPRING STREET,14
118 WEST 73 STREET,17
118-17 UNION TURNPIKE,6
118-35 METROPOLITAN AVENUE,6
1182 BROADWAY,8
1183 GATES AVENUE,4
1188 BEDFORD AVENUE,6
119 3 PLACE,11
119 EAST 96 STREET,13
119 FULTON STREET,20
119 HORIZON COURT,4
119 LEXINGTON AVENUE,11
119 NOBLE STREET,5
119 PAYSON AVENUE,12
119 ST MARK'S PLACE,10
119 WEST 22 STREET,11
119-20 UNION TURNPIKE,8
119-49 UNION TURNPIKE,7
1191 OCEAN AVENUE,1
1195 ST MARK'S AVENUE,4
1195 UNION STREET,0
1198 CARROLL STREET,1
1198 NOSTRAND AVENUE,3
11A AGATE COURT,7
11A PLEASANT PLACE,7
11A STUYVESANT AVENUE,5
12 EAST 22 STREET,12
12 FORD STREET,2
12 STAGG STREET,12
12 STUYVESANT OVAL,9
12 TOMPKINS PLACE,9
12 UNDERHILL AVENUE,9
12 WEST 72 STREET,4
12-01 JACKSON AVENUE,11
12-15 BROADWAY,5
12-17 31 DRIVE,5
12-26 30 AVENUE,7
120 BEACH 26 STREET,3
120 BERKELEY PLACE,4
120 CENTRAL PARK SOUTH,4
120 EAST 4 STREET,14
120 EAST 87 STREET,2
120 ECKFORD STREET,8
120 GATES AVENUE,7
120 GRATTAN STREET,3
120 KENILWORTH PLACE,2
120 MAC DOUGAL STREET,13
120 REMSEN STREET,20
120 RIVERSIDE BOULEVARD,16
120 SUFFOLK STREET,14
120 SULLIVAN STREET,16
120 WEST 21 STREET,11
120 WEST 23 STREET,10
120 WEST 58 STREET,3
1200 HALSEY STREET,5
1200 NOSTRAND AVENUE,3
1200 WOODYCREST AVENUE,6
1202 AVENUE K,1
1203 65 STREET,2
121 1/2 BEACH 26 STREET,3
121 AVENUE A,12
121 BAXTER STREET,17
121 CARROLL STREET,6
121 EAST 23 STREET,15
121 EAST 31 STREET,15
121 LAFAYETTE AVENUE,10
121 NORTH 11 STREET,10
121 WEST 122 STREET,11
121 WOODBINE STREET,6
1211 HERKIMER STREET,9
1212 5 AVENUE,17
1213 ROGERS AVENUE,1
1214 FIFTH AVENUE,17
1215 AVENUE M,1
122 BAY RIDGE AVENUE,7
122 BOERUM STREET,5
122 CENTRAL AVENUE,4
122 EAST 103 STREET,11
122 EAST 13 STREET,16
122 GREENWICH AVENUE,15
122 HIGHLAWN AVENUE,2
122 LAWRENCE AVENUE,4
122 VANDERBILT AVENUE,7
122 WEST STREET,3
122-04 METROPOLITAN AVENUE,4
1221 NOSTRAND AVENUE,3
1222 AVENUE Y,2
1222 EAST 72 STREET,2
1223 BUSHWICK AVENUE,5
1225 1 AVENUE,2
1225 AVENUE R,3
1226 BEDFORD AVENUE,2
1226 LINCOLN PLACE,4
123 EAST 88 STREET,2
123 GUERNSEY STREET,10
123 KENT AVENUE,8
123 LEXINGTON AVENUE,12
123 PARKSIDE AVENUE,10
123 WASHINGTON STREET,16
123 WAVERLY PLACE,18
123 WEST 131 STREET,13
123-05 82 ROAD,7
123-16 83 AVENUE,6
123-20 82 AVENUE,7
123-30 83 AVENUE,6
123-33 83 AVENUE,7
123-60 83 AVENUE,6
1230 BUSHWICK AVENUE,6
1231 HALSEY STREET,4
1232 OCEAN AVENUE,1
1233 DEAN STREET,3
1235 BROADWAY,4
1236 BEDFORD AVENUE,2
1238 2 AVENUE,2
1238 PRESIDENT STREET,1
124 EAST 103 STREET,11
124 EAST 107 STREET,9
124 EAST 37 STREET,11
124 EAST 64 STREET,3
124 KANE STREET,9
124 SOUTH 3RD STREET,10
124 SUMPTER STREET,8
124 WEST 23RD STREET,11
124 WEST 24 STREET,11
124 WEST 60 STREET,10
124 WYCKOFF AVENUE,4
124-01 METROPOLITAN AVENUE,3
124-15 25 ROAD,2
1240 DEAN STREET,3
1240 EAST 7 STREET,1
1245 DEAN STREET,3
1245 HALSEY STREET,4
1246 BUSHWICK AVENUE,6
1247 MYRTLE AVENUE,4
1249 DEAN STREET,2
125 1 AVENUE,13
125 96 STREET,6
125 COURT STREET,12
125 EAST 71 STREET,2
125 EAST 82 STREET,3
125 EAST 87 STREET,1
125 ELIZABETH STREET,16
125 GRAHAM AVENUE,6
125 HAWTHORNE STREET,6
125 LEFFERTS PLACE,4
125 LEONARD STREET,5
125 NORTH 10TH STREET,11
125 ORCHARD STREET,14
125 PARKSIDE AVENUE,10
125 STERLING STREET,3
125 WEST 21 STREET,11
125 WEST 22 STREET,11
125 WEST 77 STREET,2
125-10 QUEENS BOULEVARD,6
125-16 83 DRIVE,6
1252 EAST 19 STREET,1
1255 BUSHWICK AVENUE,6
1255 EAST 19 STREET,1
1256 OCEAN AVENUE,1
1257 PARK AVENUE,14
1259 FINDLAY AVENUE,8
1259 PARK AVENUE,14
126 1 PLACE,8
126 BAINBRIDGE STREET,6
126 BERKELEY PLACE,5
126 CHAMBERS STREET,20
126 EAST 103 STREET,11
126 EAST 83 STREET,3
126 KANE STREET,9
126 MESEROLE AVENUE,8
126 MOFFAT STREET,5
126 WINTHROP STREET,5
1260 BROADWAY,4
1261 HERKIMER STREET,8
1261 MADISON STREET,7
1263 HERKIMER STREET,8
1263 PUTNAM AVENUE,6
1265 BAY RIDGE PARKWAY,2
1268 DECATUR STREET,4
1269 HERKIMER STREET,9
127 GRAHAM AVENUE,5
127 GRAND STREET,16
127 MONTROSE AVENUE,5
127 ROGERS AVENUE,0
127 ST FELIX STREET,11
1270 1 AVENUE,3
1270 EAST 19 STREET,1
1271 DECATUR STREET,4
128 FRANKLIN STREET,3
128 LAFAYETTE AVENUE,11
128 MARINE AVENUE,6
128 MONTAGUE STREET,20
128 RUTLAND ROAD,7
128 ST MARK'S PLACE,10
128 WEST 13 STREET,12
128 WEST 138 STREET,10
128 WEST 75 STREET,13
128 WYTHE AVE,14
1280 5 AVENUE,10
1284 84 STREET,2
1285 HANCOCK STREET,8
1286 PUTNAM AVENUE,6
1287 EAST 19 STREET,1
1287-1299 PROSPECT AVENUE,9
129 AVENUE D,9
129 EAST 61 STREET,3
129 GRAND STREET,16
129 JEFFERSON AVENUE,4
129 LAFAYETTE STREET,19
129 METROPOLITAN AVENUE,8
129 SCHAEFER STREET,4
129 STOCKHOLM STREET,4
1290 BUSHWICK AVENUE,6
1295 5 AVENUE,10
1296 MADISON AVENUE,3
1297 ST JOHN'S PLACE,5
13 3 STREET,8
13 ESSEX STREET,15
13 PARK PLACE,8
13 SEELEY STREET,7
13 ST MARK'S PLACE,15
13-01 125 STREET,6
13-01 34 AVENUE,4
13-11 JACKSON AVENUE,10
130 AINSLIE STREET,13
130 BARROW STREET,14
130 BAY RIDGE PARKWAY,3
130 EAST 35 STREET,11
130 EAST 59 STREET,1
130 FULTON STREET,20
130 GREENE STREET,15
130 MARTENSE STREET,5
130 NORMAN AVENUE,3
130 NORTH 5 STREET,14
130 NOSTRAND AVENUE,5
130 ORCHARD STREET,14
130 SCHOLES STREET,6
130 SOUTH 2 STREET,10
130 WADSWORTH AVENUE,5
130 WATER STREET,19
130 WEST 10 STREET,17
130 WEST 15 STREET,12
130 WEST 19 STREET,13
130 WEST 30 STREET,9
130 WEST 79 STREET,1
130 WILSON AVENUE,6
1300 STERLING PLACE,5
1302 TELLER AVENUE,10
1303 GREENE AVENUE,5
1309 5 AVENUE,11
1309 FOSTER AVENUE,1
131 AVENUE A,12
131 CENTRAL PARK NORTH,10
131 EAST 59 STREET,1
131 GUERNSEY STREET,12
131 LINCOLN ROAD,5
131 LINDEN STREET,5
131 MENAHAN STREET,4
131 MULBERRY STREET,19
131 WEST 11 STREET,14
131-01 40TH RD,4
131-03 40 ROAD,2
131-05 40TH ROAD,2
131-61 40 ROAD,5
1310 AVENUE R,3
1311 BRIGHTWATER AVENUE,2
1313 PUTNAM AVENUE,7
1314 OCEAN PARKWAY,2
1316 HALSEY STREET,4
1317 EAST 14 STREET,1
1318 HALSEY STREET,4
132 DUPONT STREET,10
132 EAST 30 STREET,14
132 EAST 65 STREET,3
132 GREENWAY NORTH,5
132 JEFFERSON AVENUE,1
132 NOSTRAND AVENUE,5
132 ORCHARD STREET,15
132 UNION STREET,8
132 WEST 119 STREET,11
132 WEST 123RD STREET,10
132 WEST 15 STREET,12
132 WEST 22 STREET,11
132 WEST 87 STREET,1
132-70 SANFORD AVENUE,5
1320 STERLING PLACE,5
1322 2 AVENUE,1
1322 STERLING PLACE,5
1323 MYRTLE AVENUE,6
1326 OCEAN AVENUE,1
1328 LEXINGTON AVENUE,2
133 2 AVENUE,13
133 20 STREET,4
133 23 STREET,2
133 AVENUE D,9
133 BAY RIDGE AVENUE,6
133 ESSEX STREET,14
133 MULBERRY STREET,19
133 PATCHEN AVENUE,2
133 ROGERS AVENUE,0
133 SOUTH 1 STREET,10
133 WATER STREET,15
133 WEST 122 STREET,10
133 WEST 136 STREET,12
133 WEST 22 STREET,11
133 WEST 95 STREET,5
133-143 WEST 225 STREET,11
1330 BAY RIDGE AVENUE,2
1330 EASTERN PARKWAY,4
1331 EAST 19 STREET,1
1332 81 STREET,1
1338 73 STREET,1
1338 BERGEN STREET,6
1338 SUTTER AVENUE,7
134 EAST 22 STREET,13
134 EAST 93 STREET,2
134 FROST STREET,11
134 GATLING PLACE,5
134 JAVA STREET,6
134 PROSPECT PLACE,7
134 PULASKI STREET,4
134 WEST 93 STREET,5
1340 HANCOCK STREET,6
1342 BERGEN STREET,6
1344 MYRTLE AVENUE,4
1346 HANCOCK STREET,6
1349 2 AVENUE,1
135 14 STREET,6
135 29 STREET,3
135 3 AVENUE,14
135 AVENUE A,13
135 CENTRAL PARK WEST,3
135 CORNELIA STREET,7
135 EAST 54 STREET,1
135 EAST 71 STREET,2
135 ERASMUS STREET,3
135 LAWRENCE STREET,9
135 OCEAN PARKWAY,6
135 SEA BREEZE AVENUE,6
135 SULLIVAN STREET,18
135 WEST 52 STREET,1
135 WEST 58 STREET,4
135 WEST 70 STREET,19
135 WEST 82 STREET,1
135 WEST 94 STREET,5
135-16 82 AVENUE,5
135-20-135-24 HOOVER AVENUE,6
135-23 82 AVENUE,5
135-38 COOLIDGE AVENUE,6
1350 DECATUR STREET,5
1351 NEW YORK AVENUE,2
1353 MYRTLE AVENUE,4
1353 PARK PLACE,3
1356 BROADWAY,2
1356 NEW YORK AVENUE,2
1356 WILLOUGHBY AVENUE,2
1357 PACIFIC STREET,3
1359 1 AVENUE,1
136 87 STREET,1
136 CLIFTON PLACE,5
136 EAST 117 STREET,13
136 EAST 28 STREET,11
136 EAST 55 STREET,2
136 EAST BROADWAY,12
136 IRVING AVENUE,3
136 PROSPECT PLACE,7
136 PULASKI STREET,4
136 ST MARK'S PLACE,10
136 WEST 11 STREET,13
136 WEST 111 STREET,11
136 WEST 118 STREET,11
136 WEST 72 STREET,20
136 WEST 74 STREET,14
136-140 WEST 23 STREET,11
1360 ST NICHOLAS AVENUE,14
1361 PARK PLACE,3
1362 DE KALB AVENUE,4
1365 GREENE AVENUE,5
1365 SAINT NICHOLAS AVENUE,10
1365 WEST 7 STREET,4
1366 WEST 7 STREET,4
1367 65 STREET,1
1368 PACIFIC STREET,3
137 DAHILL ROAD,2
137 DECATUR STREET,7
137 EAST 110 STREET,10
137 EAST 13 STREET,14
137 EAST 38 STREET,4
137 FRANKLIN STREET,4
137 HENRY STREET,20
137 MADISON STREET,5
137 MANHATTAN AVENUE,1
137 PUTNAM AVENUE,6
137-20 45 AVENUE,7
137-30 68 DRIVE,3
1370 84 STREET,1
1377 DEAN STREET,6
1378 1 AVENUE,1
138 BROADWAY,10
138 COURT STREET,11
138 E 12TH ST,15
138 EAST 37 STREET,13
138 EAST 74 STREET,1
138 EAST 94 STREET,9
138 GROVE STREET,4
138 LINDEN STREET,5
138 MANHATTAN AVENUE,5
138 ORCHARD STREET,16
138 PRESIDENT STREET,6
138 RIDGE STREET,13
138 SACKETT STREET,8
138 WEST 123 STREET,10
138-14 HOOVER AVENUE,4
138-35 39 AVENUE,4
